Choisir la source ?
1 - Echelon
2 - Porte
3 - Carré
4 - Triangle
#Temps   Ve   Vs   Vd
#Diode passante
0.1   0   -0.06   0.6
0.2   0   -0.108   0.48
#Diode bloquee
0.3   0   -0.0972   -0.108
0.4   0   -0.08748   -0.0972
0.5   0   -0.07873   -0.08748
0.6   0   -0.07086   -0.07873
0.7   0   -0.06377   -0.07086
0.8   0   -0.0574   -0.06377
0.9   0   -0.05166   -0.0574
1   0   -0.04649   -0.05166
1.1   0   -0.04184   -0.04649
1.2   0   -0.03766   -0.04184
1.3   0   -0.03389   -0.03766
1.4   0   -0.0305   -0.03389
1.5   0   -0.02745   -0.0305
1.6   0   -0.02471   -0.02745
1.7   0   -0.02224   -0.02471
1.8   0   -0.02001   -0.02224
1.9   0   -0.01801   -0.02001
2   0   -0.01621   -0.01801
2.1   0   -0.01459   -0.01621
2.2   0   -0.01313   -0.01459
2.3   0   -0.01182   -0.01313
2.4   0   -0.01064   -0.01182
2.5   0   -0.009572   -0.01064
2.6   0   -0.008615   -0.009572
2.7   0   -0.007753   -0.008615
2.8   0   -0.006978   -0.007753
2.9   0   -0.00628   -0.006978
3   0   -0.005652   -0.00628
3.1   0   -0.005087   -0.005652
3.2   0   -0.004578   -0.005087
3.3   0   -0.00412   -0.004578
3.4   0   -0.003708   -0.00412
3.5   0   -0.003338   -0.003708
3.6   0   -0.003004   -0.003338
3.7   0   -0.002703   -0.003004
3.8   0   -0.002433   -0.002703
3.9   0   -0.00219   -0.002433
4   0   -0.001971   -0.00219
4.1   0   -0.001774   -0.001971
4.2   0   -0.001596   -0.001774
4.3   0   -0.001437   -0.001596
4.4   0   -0.001293   -0.001437
4.5   0   -0.001164   -0.001293
4.6   0   -0.001047   -0.001164
4.7   0   -0.0009426   -0.001047
4.8   0   -0.0008484   -0.0009426
4.9   0   -0.0007635   -0.0008484
5   0   -0.0006872   -0.0007635
5.1   0   -0.0006185   -0.0006872
5.2   0   -0.0005566   -0.0006185
5.3   0   -0.0005009   -0.0005566
5.4   0   -0.0004509   -0.0005009
5.5   0   -0.0004058   -0.0004509
5.6   0   -0.0003652   -0.0004058
5.7   0   -0.0003287   -0.0003652
5.8   0   -0.0002958   -0.0003287
5.9   0   -0.0002662   -0.0002958
6   0   -0.0002396   -0.0002662
6.1   0   -0.0002156   -0.0002396
6.2   0   -0.0001941   -0.0002156
6.3   0   -0.0001747   -0.0001941
6.4   0   -0.0001572   -0.0001747
6.5   0   -0.0001415   -0.0001572
6.6   0   -0.0001273   -0.0001415
6.7   0   -0.0001146   -0.0001273
6.8   0   -0.0001031   -0.0001146
6.9   0   -9.283e-05   -0.0001031
7   0   -8.354e-05   -9.283e-05
7.1   0   -7.519e-05   -8.354e-05
7.2   0   -6.767e-05   -7.519e-05
7.3   0   -6.09e-05   -6.767e-05
7.4   0   -5.481e-05   -6.09e-05
7.5   0   -4.933e-05   -5.481e-05
7.6   0   -4.44e-05   -4.933e-05
7.7   0   -3.996e-05   -4.44e-05
7.8   0   -3.596e-05   -3.996e-05
7.9   0   -3.237e-05   -3.596e-05
8   0   -2.913e-05   -3.237e-05
8.1   0   -2.622e-05   -2.913e-05
8.2   0   -2.36e-05   -2.622e-05
8.3   0   -2.124e-05   -2.36e-05
8.4   0   -1.911e-05   -2.124e-05
8.5   0   -1.72e-05   -1.911e-05
8.6   0   -1.548e-05   -1.72e-05
8.7   0   -1.393e-05   -1.548e-05
8.8   0   -1.254e-05   -1.393e-05
8.9   0   -1.129e-05   -1.254e-05
9   0   -1.016e-05   -1.129e-05
9.1   0   -9.141e-06   -1.016e-05
9.2   0   -8.227e-06   -9.141e-06
9.3   0   -7.404e-06   -8.227e-06
9.4   0   -6.664e-06   -7.404e-06
9.5   0   -5.998e-06   -6.664e-06
9.6   0   -5.398e-06   -5.998e-06
9.7   0   -4.858e-06   -5.398e-06
9.8   0   -4.372e-06   -4.858e-06
9.9   0   -3.935e-06   -4.372e-06
10   0   -3.542e-06   -3.935e-06
10.1   0   -3.187e-06   -3.542e-06
