Choisir la source ?
1 - Echelon
2 - Porte
3 - Carré
4 - Triangle
#Temps   Ve   Vs   Vd
#Diode passante
0.1   0   -0.06   0.6
0.2   0   -0.108   0.48
#Diode bloquee
0.3   0   -0.0972   -0.108
0.4   0   -0.08748   -0.0972
0.5   0   -0.07873   -0.08748
0.6   0   -0.07086   -0.07873
0.7   0   -0.06377   -0.07086
0.8   0   -0.0574   -0.06377
0.9   0   -0.05166   -0.0574
1   0   -0.04649   -0.05166
1.1   5   -0.04184   4.954
#Diode passante
1.2   5   0.4065   0.5163
#Diode bloquee
1.3   5   0.3659   5.407
#Diode passante
1.4   5   0.7327   1.332
1.5   5   1.026   2.065
1.6   5   1.261   2.652
1.7   5   1.449   3.122
1.8   5   1.599   3.497
1.9   5   1.719   3.798
2   5   1.815   4.038
2.1   5   1.892   4.231
2.2   5   1.954   4.385
2.3   5   2.003   4.508
2.4   5   2.042   4.606
2.5   5   2.074   4.685
2.6   5   2.099   4.748
2.7   5   2.119   4.798
2.8   5   2.135   4.839
2.9   5   2.148   4.871
3   0   2.159   -0.1033
#Diode bloquee
3.1   0   1.943   2.159
#Diode passante
3.2   0   1.494   4.486
3.3   0   1.135   3.589
3.4   0   0.8483   2.871
3.5   0   0.6187   2.297
3.6   0   0.4349   1.837
3.7   0   0.2879   1.47
3.8   0   0.1704   1.176
3.9   0   0.07628   0.9407
4   0   0.001027   0.7526
4.1   0   -0.05918   0.6021
4.2   0   -0.1073   0.4816
#Diode bloquee
4.3   0   -0.09661   -0.1073
4.4   0   -0.08695   -0.09661
4.5   0   -0.07825   -0.08695
4.6   0   -0.07043   -0.07825
4.7   0   -0.06338   -0.07043
4.8   0   -0.05705   -0.06338
4.9   0   -0.05134   -0.05705
5   0   -0.04621   -0.05134
5.1   0   -0.04159   -0.04621
5.2   0   -0.03743   -0.04159
5.3   0   -0.03369   -0.03743
5.4   0   -0.03032   -0.03369
5.5   0   -0.02729   -0.03032
5.6   0   -0.02456   -0.02729
5.7   0   -0.0221   -0.02456
5.8   0   -0.01989   -0.0221
5.9   0   -0.0179   -0.01989
6   0   -0.01611   -0.0179
6.1   0   -0.0145   -0.01611
6.2   0   -0.01305   -0.0145
6.3   0   -0.01175   -0.01305
6.4   0   -0.01057   -0.01175
6.5   0   -0.009514   -0.01057
6.6   0   -0.008562   -0.009514
6.7   0   -0.007706   -0.008562
6.8   0   -0.006935   -0.007706
6.9   0   -0.006242   -0.006935
7   0   -0.005618   -0.006242
7.1   0   -0.005056   -0.005618
7.2   0   -0.00455   -0.005056
7.3   0   -0.004095   -0.00455
7.4   0   -0.003686   -0.004095
7.5   0   -0.003317   -0.003686
7.6   0   -0.002985   -0.003317
7.7   0   -0.002687   -0.002985
7.8   0   -0.002418   -0.002687
7.9   0   -0.002176   -0.002418
8   0   -0.001959   -0.002176
8.1   0   -0.001763   -0.001959
8.2   0   -0.001587   -0.001763
8.3   0   -0.001428   -0.001587
8.4   0   -0.001285   -0.001428
8.5   0   -0.001157   -0.001285
8.6   0   -0.001041   -0.001157
8.7   0   -0.0009369   -0.001041
8.8   0   -0.0008432   -0.0009369
8.9   0   -0.0007589   -0.0008432
9   0   -0.000683   -0.0007589
9.1   0   -0.0006147   -0.000683
9.2   0   -0.0005532   -0.0006147
9.3   0   -0.0004979   -0.0005532
9.4   0   -0.0004481   -0.0004979
9.5   0   -0.0004033   -0.0004481
9.6   0   -0.000363   -0.0004033
9.7   0   -0.0003267   -0.000363
9.8   0   -0.000294   -0.0003267
9.9   0   -0.0002646   -0.000294
10   0   -0.0002381   -0.0002646
10.1   0   -0.0002143   -0.0002381
