
#Temps   Ve   Vs   Vd
#Diode passante
0.1   -3   -0.31   0.1
#Diode bloquee
0.2   -3.5   -0.279   -3.81
0.3   -4   -0.2511   -4.279
0.4   -4.5   -0.226   -4.751
0.5   -5   -0.2034   -5.226
0.6   -5.5   -0.1831   -5.703
0.7   -6   -0.1647   -6.183
0.8   -6.5   -0.1483   -6.665
0.9   -7   -0.1334   -7.148
1   -7.5   -0.1201   -7.633
1.1   2   -0.1081   1.88
#Diode passante
1.2   1.5   0.05353   -0.1162
#Diode bloquee
1.3   1   0.04817   1.054
#Diode passante
1.4   0.5   0.07854   0.1963
#Diode bloquee
1.5   -1.11e-15   0.07069   0.07854
1.6   -0.5   0.06362   -0.4293
1.7   -1   0.05726   -0.9364
1.8   -1.5   0.05153   -1.443
1.9   -2   0.04638   -1.948
2   -2.5   0.04174   -2.454
2.1   -3   0.03757   -2.958
2.2   -3.5   0.03381   -3.462
2.3   -4   0.03043   -3.966
2.4   -4.5   0.02739   -4.47
2.5   -5   0.02465   -4.973
2.6   -5.5   0.02218   -5.475
2.7   -6   0.01996   -5.978
2.8   -6.5   0.01797   -6.48
2.9   -7   0.01617   -6.982
3   2.5   0.01455   2.516
#Diode passante
3.1   2   0.2016   0.1291
#Diode bloquee
3.2   1.5   0.1815   1.702
#Diode passante
3.3   1   0.2352   0.463
#Diode bloquee
3.4   0.5   0.2117   0.7352
#Diode passante
3.5   -8.882e-15   0.1593   0.5233
#Diode bloquee
3.6   -0.5   0.1434   -0.3407
3.7   -1   0.1291   -0.8566
3.8   -1.5   0.1162   -1.371
3.9   -2   0.1045   -1.884
4   -2.5   0.09408   -2.395
4.1   -3   0.08468   -2.906
4.2   -3.5   0.07621   -3.415
4.3   -4   0.06859   -3.924
4.4   -4.5   0.06173   -4.431
4.5   -5   0.05556   -4.938
4.6   -5.5   0.05   -5.444
4.7   -6   0.045   -5.95
4.8   -6.5   0.0405   -6.455
4.9   -7   0.03645   -6.96
5   -7.5   0.0328   -7.464
5.1   2   0.02952   2.033
#Diode passante
5.2   1.5   0.1636   0.159
#Diode bloquee
5.3   1   0.1473   1.164
#Diode passante
5.4   0.5   0.1578   0.3945
#Diode bloquee
5.5   1.776e-14   0.142   0.1578
5.6   -0.5   0.1278   -0.358
5.7   -1   0.115   -0.8722
5.8   -1.5   0.1035   -1.385
5.9   -2   0.09318   -1.896
6   -2.5   0.08386   -2.407
6.1   -3   0.07548   -2.916
6.2   -3.5   0.06793   -3.425
6.3   -4   0.06114   -3.932
6.4   -4.5   0.05502   -4.439
6.5   -5   0.04952   -4.945
6.6   -5.5   0.04457   -5.45
6.7   -6   0.04011   -5.955
6.8   -6.5   0.0361   -6.46
6.9   -7   0.03249   -6.964
7   -7.5   0.02924   -7.468
7.1   2   0.02632   2.029
#Diode passante
7.2   1.5   0.1611   0.1526
#Diode bloquee
7.3   1   0.1449   1.161
#Diode passante
7.4   0.5   0.156   0.3899
#Diode bloquee
7.5   5.329e-14   0.1404   0.156
7.6   -0.5   0.1263   -0.3596
7.7   -1   0.1137   -0.8737
7.8   -1.5   0.1023   -1.386
7.9   -2   0.09209   -1.898
8   -2.5   0.08288   -2.408
8.1   -3   0.07459   -2.917
8.2   -3.5   0.06714   -3.425
8.3   -4   0.06042   -3.933
8.4   -4.5   0.05438   -4.44
8.5   -5   0.04894   -4.946
8.6   -5.5   0.04405   -5.451
8.7   -6   0.03964   -5.956
8.8   -6.5   0.03568   -6.46
8.9   -7   0.03211   -6.964
9   -7.5   0.0289   -7.468
9.1   2   0.02601   2.029
#Diode passante
9.2   1.5   0.1608   0.152
#Diode bloquee
9.3   1   0.1447   1.161
#Diode passante
9.4   0.5   0.1558   0.3895
#Diode bloquee
9.5   8.882e-14   0.1402   0.1558
9.6   -0.5   0.1262   -0.3598
9.7   -1   0.1136   -0.8738
9.8   -1.5   0.1022   -1.386
9.9   -2   0.09199   -1.898
10   -2.5   0.08279   -2.408
10.1   -3   0.07451   -2.917
