#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
0.01   5   0.05
0.02   5   0.0995
0.03   5   0.1485
0.04   5   0.197
0.05   5   0.245
0.06   5   0.2926
0.07   5   0.3397
0.08   5   0.3863
0.09   5   0.4324
0.1   5   0.4781
0.11   5   0.5233
0.12   5   0.5681
0.13   5   0.6124
0.14   5   0.6563
0.15   5   0.6997
0.16   5   0.7427
0.17   5   0.7853
0.18   5   0.8274
0.19   5   0.8692
0.2   0   0.9105
0.21   0   0.9014
0.22   0   0.8923
0.23   0   0.8834
0.24   0   0.8746
0.25   0   0.8658
0.26   0   0.8572
0.27   0   0.8486
0.28   0   0.8401
0.29   0   0.8317
0.3   0   0.8234
0.31   0   0.8152
0.32   0   0.807
0.33   0   0.799
0.34   0   0.791
0.35   0   0.7831
0.36   0   0.7752
0.37   0   0.7675
0.38   0   0.7598
0.39   0   0.7522
0.4   0   0.7447
0.41   0   0.7372
0.42   0   0.7299
0.43   0   0.7226
0.44   0   0.7153
0.45   0   0.7082
0.46   0   0.7011
0.47   0   0.6941
0.48   0   0.6871
0.49   0   0.6803
0.5   0   0.6735
0.51   0   0.6667
0.52   0   0.6601
0.53   0   0.6535
0.54   0   0.6469
0.55   0   0.6405
0.56   0   0.6341
0.57   0   0.6277
0.58   0   0.6214
0.59   0   0.6152
0.6   0   0.6091
0.61   0   0.603
0.62   0   0.597
0.63   0   0.591
0.64   0   0.5851
0.65   0   0.5792
0.66   0   0.5734
0.67   0   0.5677
0.68   0   0.562
0.69   0   0.5564
0.7   0   0.5508
0.71   0   0.5453
0.72   0   0.5399
0.73   0   0.5345
0.74   0   0.5291
0.75   0   0.5238
0.76   0   0.5186
0.77   0   0.5134
0.78   0   0.5083
0.79   0   0.5032
0.8   0   0.4982
0.81   0   0.4932
0.82   0   0.4883
0.83   0   0.4834
0.84   0   0.4785
0.85   0   0.4738
0.86   0   0.469
0.87   0   0.4643
0.88   0   0.4597
0.89   0   0.4551
0.9   0   0.4505
0.91   0   0.446
0.92   0   0.4416
0.93   0   0.4372
0.94   0   0.4328
0.95   0   0.4285
0.96   0   0.4242
0.97   0   0.4199
0.98   0   0.4157
0.99   0   0.4116
1   5   0.4075
1.01   5   0.4534
1.02   5   0.4988
1.03   5   0.5439
1.04   5   0.5884
1.05   5   0.6325
1.06   5   0.6762
1.07   5   0.7194
1.08   5   0.7623
1.09   5   0.8046
1.1   5   0.8466
1.11   5   0.8881
1.12   5   0.9292
1.13   5   0.9699
1.14   5   1.01
1.15   5   1.05
1.16   5   1.09
1.17   5   1.129
1.18   5   1.167
1.19   5   1.206
1.2   5   1.244
1.21   5   1.281
1.22   5   1.318
1.23   5   1.355
1.24   5   1.392
1.25   5   1.428
1.26   5   1.464
1.27   5   1.499
1.28   5   1.534
1.29   5   1.569
1.3   5   1.603
1.31   5   1.637
1.32   5   1.67
1.33   5   1.704
1.34   5   1.737
1.35   5   1.769
1.36   5   1.802
1.37   5   1.834
1.38   5   1.865
1.39   5   1.897
1.4   5   1.928
1.41   5   1.958
1.42   5   1.989
1.43   5   2.019
1.44   5   2.049
1.45   5   2.078
1.46   5   2.108
1.47   5   2.136
1.48   5   2.165
1.49   5   2.193
1.5   5   2.221
1.51   5   2.249
1.52   5   2.277
1.53   5   2.304
1.54   5   2.331
1.55   5   2.358
1.56   5   2.384
1.57   5   2.41
1.58   5   2.436
1.59   5   2.462
1.6   5   2.487
1.61   5   2.512
1.62   5   2.537
1.63   5   2.562
1.64   5   2.586
1.65   5   2.61
1.66   5   2.634
1.67   5   2.658
1.68   5   2.681
1.69   5   2.704
1.7   5   2.727
1.71   5   2.75
1.72   5   2.773
1.73   5   2.795
1.74   5   2.817
1.75   5   2.839
1.76   5   2.86
1.77   5   2.882
1.78   5   2.903
1.79   5   2.924
1.8   5   2.945
1.81   5   2.965
1.82   5   2.986
1.83   5   3.006
1.84   5   3.026
1.85   5   3.045
1.86   5   3.065
1.87   5   3.084
1.88   5   3.104
1.89   5   3.122
1.9   5   3.141
1.91   5   3.16
1.92   5   3.178
1.93   5   3.196
1.94   5   3.214
1.95   5   3.232
1.96   5   3.25
1.97   5   3.268
1.98   5   3.285
1.99   5   3.302
2   5   3.319
2.01   5   3.336
2.02   5   3.352
2.03   5   3.369
2.04   5   3.385
2.05   5   3.401
2.06   5   3.417
2.07   5   3.433
2.08   5   3.449
2.09   5   3.464
2.1   5   3.48
2.11   5   3.495
2.12   5   3.51
2.13   5   3.525
2.14   5   3.54
2.15   5   3.554
2.16   5   3.569
2.17   5   3.583
2.18   5   3.597
2.19   5   3.611
2.2   5   3.625
2.21   0   3.639
2.22   0   3.602
2.23   0   3.566
2.24   0   3.531
2.25   0   3.495
2.26   0   3.46
2.27   0   3.426
2.28   0   3.392
2.29   0   3.358
2.3   0   3.324
2.31   0   3.291
2.32   0   3.258
2.33   0   3.225
2.34   0   3.193
2.35   0   3.161
2.36   0   3.13
2.37   0   3.098
2.38   0   3.067
2.39   0   3.037
2.4   0   3.006
2.41   0   2.976
2.42   0   2.946
2.43   0   2.917
2.44   0   2.888
2.45   0   2.859
2.46   0   2.83
2.47   0   2.802
2.48   0   2.774
2.49   0   2.746
2.5   0   2.719
2.51   0   2.692
2.52   0   2.665
2.53   0   2.638
2.54   0   2.612
2.55   0   2.586
2.56   0   2.56
2.57   0   2.534
2.58   0   2.509
2.59   0   2.484
2.6   0   2.459
2.61   0   2.434
2.62   0   2.41
2.63   0   2.386
2.64   0   2.362
2.65   0   2.338
2.66   0   2.315
2.67   0   2.292
2.68   0   2.269
2.69   0   2.246
2.7   0   2.224
2.71   0   2.202
2.72   0   2.179
2.73   0   2.158
2.74   0   2.136
2.75   0   2.115
2.76   0   2.094
2.77   0   2.073
2.78   0   2.052
2.79   0   2.031
2.8   0   2.011
2.81   0   1.991
2.82   0   1.971
2.83   0   1.951
2.84   0   1.932
2.85   0   1.913
2.86   0   1.893
2.87   0   1.874
2.88   0   1.856
2.89   0   1.837
2.9   0   1.819
2.91   0   1.801
2.92   0   1.783
2.93   0   1.765
