#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
0.01   2.45   0.025
0.02   2.4   0.04925
0.03   2.35   0.07276
0.04   2.3   0.09553
0.05   2.25   0.1176
0.06   2.2   0.1389
0.07   2.15   0.1595
0.08   2.1   0.1794
0.09   2.05   0.1986
0.1   2   0.2171
0.11   1.95   0.235
0.12   1.9   0.2521
0.13   1.85   0.2686
0.14   1.8   0.2844
0.15   1.75   0.2996
0.16   1.7   0.3141
0.17   1.65   0.3279
0.18   1.6   0.3411
0.19   1.55   0.3537
0.2   1.5   0.3657
0.21   1.45   0.377
0.22   1.4   0.3878
0.23   1.35   0.3979
0.24   1.3   0.4074
0.25   1.25   0.4163
0.26   1.2   0.4247
0.27   1.15   0.4324
0.28   1.1   0.4396
0.29   1.05   0.4462
0.3   1   0.4522
0.31   0.95   0.4577
0.32   0.9   0.4626
0.33   0.85   0.467
0.34   0.8   0.4709
0.35   0.75   0.4741
0.36   0.7   0.4769
0.37   0.65   0.4791
0.38   0.6   0.4808
0.39   0.55   0.482
0.4   0.5   0.4827
0.41   0.45   0.4829
0.42   0.4   0.4826
0.43   0.35   0.4817
0.44   0.3   0.4804
0.45   0.25   0.4786
0.46   0.2   0.4763
0.47   0.15   0.4736
0.48   0.1   0.4703
0.49   0.05   0.4666
0.5   -1.11e-15   0.4625
0.51   -0.05   0.4578
0.52   -0.1   0.4528
0.53   -0.15   0.4472
0.54   -0.2   0.4413
0.55   -0.25   0.4348
0.56   -0.3   0.428
0.57   -0.35   0.4207
0.58   -0.4   0.413
0.59   -0.45   0.4049
0.6   -0.5   0.3963
0.61   -0.55   0.3874
0.62   -0.6   0.378
0.63   -0.65   0.3682
0.64   -0.7   0.358
0.65   -0.75   0.3474
0.66   -0.8   0.3365
0.67   -0.85   0.3251
0.68   -0.9   0.3134
0.69   -0.95   0.3012
0.7   -1   0.2887
0.71   -1.05   0.2758
0.72   -1.1   0.2626
0.73   -1.15   0.2489
0.74   -1.2   0.2349
0.75   -1.25   0.2206
0.76   -1.3   0.2059
0.77   -1.35   0.1908
0.78   -1.4   0.1754
0.79   -1.45   0.1597
0.8   -1.5   0.1436
0.81   -1.55   0.1271
0.82   -1.6   0.1104
0.83   -1.65   0.09327
0.84   -1.7   0.07583
0.85   -1.75   0.05807
0.86   -1.8   0.03999
0.87   -1.85   0.02159
0.88   -1.9   0.002877
0.89   -1.95   -0.01615
0.9   -2   -0.03549
0.91   -2.05   -0.05513
0.92   -2.1   -0.07508
0.93   -2.15   -0.09533
0.94   -2.2   -0.1159
0.95   -2.25   -0.1367
0.96   -2.3   -0.1579
0.97   -2.35   -0.1793
0.98   -2.4   -0.201
0.99   -2.45   -0.223
1   -2.5   -0.2452
1.01   -2.45   -0.2678
1.02   -2.4   -0.2896
1.03   -2.35   -0.3107
1.04   -2.3   -0.3311
