#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
0.01   5   0.044   0.6
#Diode bloquee
0.02   5   0.04356   5.044
#Diode passante
0.03   5   0.08669   0.6871
0.04   5   0.129   0.7734
0.05   5   0.1704   0.8579
0.06   5   0.211   0.9408
0.07   5   0.2507   1.022
0.08   5   0.2897   1.101
0.09   5   0.3279   1.179
0.1   5   0.3654   1.256
0.11   5   0.4021   1.331
0.12   5   0.438   1.404
0.13   5   0.4733   1.476
0.14   5   0.5078   1.547
0.15   5   0.5416   1.616
0.16   5   0.5748   1.683
0.17   5   0.6073   1.75
0.18   5   0.6392   1.815
0.19   5   0.6704   1.878
0.2   0   0.701   -3.059
#Diode bloquee
0.21   0   0.694   0.701
#Diode passante
0.22   0   0.6741   1.988
0.23   0   0.6546   1.948
0.24   0   0.6355   1.909
0.25   0   0.6168   1.871
0.26   0   0.5985   1.834
0.27   0   0.5805   1.797
0.28   0   0.5629   1.761
0.29   0   0.5456   1.726
0.3   0   0.5287   1.691
0.31   0   0.5121   1.657
0.32   0   0.4959   1.624
0.33   0   0.48   1.592
0.34   0   0.4644   1.56
0.35   0   0.4491   1.529
0.36   0   0.4341   1.498
0.37   0   0.4194   1.468
0.38   0   0.405   1.439
0.39   0   0.3909   1.41
0.4   0   0.3771   1.382
0.41   0   0.3636   1.354
0.42   0   0.3503   1.327
0.43   0   0.3373   1.301
0.44   0   0.3246   1.275
0.45   0   0.3121   1.249
0.46   0   0.2998   1.224
0.47   0   0.2878   1.2
0.48   0   0.2761   1.176
0.49   0   0.2646   1.152
0.5   0   0.2533   1.129
0.51   0   0.2422   1.107
0.52   0   0.2314   1.084
0.53   0   0.2207   1.063
0.54   0   0.2103   1.041
0.55   0   0.2001   1.021
0.56   0   0.1901   1
0.57   0   0.1803   0.9802
0.58   0   0.1707   0.9606
0.59   0   0.1613   0.9414
0.6   0   0.1521   0.9226
0.61   0   0.143   0.9041
0.62   0   0.1342   0.886
0.63   0   0.1255   0.8683
0.64   0   0.117   0.8509
0.65   0   0.1086   0.8339
0.66   0   0.1004   0.8172
0.67   0   0.09244   0.8009
0.68   0   0.08459   0.7849
0.69   0   0.0769   0.7692
0.7   0   0.06936   0.7538
0.71   0   0.06197   0.7387
0.72   0   0.05474   0.7239
0.73   0   0.04764   0.7095
0.74   0   0.04069   0.6953
0.75   0   0.03387   0.6814
0.76   0   0.0272   0.6677
0.77   0   0.02065   0.6544
0.78   0   0.01424   0.6413
0.79   0   0.007955   0.6285
0.8   0   0.001796   0.6159
0.81   0   -0.00424   0.6036
0.82   0   -0.01016   0.5915
#Diode bloquee
0.83   0   -0.01005   -0.01016
0.84   0   -0.009953   -0.01005
0.85   0   -0.009854   -0.009953
0.86   0   -0.009755   -0.009854
0.87   0   -0.009658   -0.009755
0.88   0   -0.009561   -0.009658
0.89   0   -0.009466   -0.009561
0.9   0   -0.009371   -0.009466
0.91   0   -0.009277   -0.009371
0.92   0   -0.009184   -0.009277
0.93   0   -0.009093   -0.009184
0.94   0   -0.009002   -0.009093
0.95   0   -0.008912   -0.009002
0.96   0   -0.008823   -0.008912
0.97   0   -0.008734   -0.008823
0.98   0   -0.008647   -0.008734
0.99   0   -0.008561   -0.008647
1   5   -0.008475   4.991
#Diode passante
1.01   5   0.03569   0.5831
#Diode bloquee
1.02   5   0.03534   5.036
#Diode passante
1.03   5   0.07863   0.6707
1.04   5   0.1211   0.7573
1.05   5   0.1626   0.8421
1.06   5   0.2034   0.9253
1.07   5   0.2433   1.007
1.08   5   0.2825   1.087
1.09   5   0.3208   1.165
1.1   5   0.3584   1.242
1.11   5   0.3952   1.317
1.12   5   0.4313   1.39
1.13   5   0.4667   1.463
1.14   5   0.5014   1.533
1.15   5   0.5353   1.603
1.16   5   0.5686   1.671
1.17   5   0.6012   1.737
1.18   5   0.6332   1.802
1.19   5   0.6646   1.866
1.2   5   0.6953   1.929
1.21   5   0.7254   1.991
1.22   5   0.7549   2.051
1.23   5   0.7838   2.11
1.24   5   0.8121   2.168
1.25   5   0.8398   2.224
1.26   5   0.867   2.28
1.27   5   0.8937   2.334
1.28   5   0.9198   2.387
1.29   5   0.9454   2.44
1.3   5   0.9705   2.491
1.31   5   0.9951   2.541
1.32   5   1.019   2.59
1.33   5   1.043   2.638
1.34   5   1.066   2.686
1.35   5   1.089   2.732
1.36   5   1.111   2.777
1.37   5   1.133   2.822
1.38   5   1.154   2.865
1.39   5   1.175   2.908
1.4   5   1.195   2.95
1.41   5   1.216   2.991
1.42   5   1.235   3.031
1.43   5   1.255   3.07
1.44   5   1.273   3.109
1.45   5   1.292   3.147
1.46   5   1.31   3.184
1.47   5   1.328   3.22
1.48   5   1.345   3.256
1.49   5   1.362   3.291
1.5   5   1.379   3.325
1.51   5   1.396   3.358
1.52   5   1.412   3.391
1.53   5   1.427   3.423
1.54   5   1.443   3.455
1.55   5   1.458   3.486
1.56   5   1.473   3.516
1.57   5   1.487   3.546
1.58   5   1.502   3.575
1.59   5   1.516   3.603
1.6   5   1.529   3.631
1.61   5   1.543   3.659
1.62   5   1.556   3.686
1.63   5   1.569   3.712
1.64   5   1.581   3.738
1.65   5   1.594   3.763
1.66   5   1.606   3.788
1.67   5   1.618   3.812
1.68   5   1.629   3.836
1.69   5   1.641   3.859
1.7   5   1.652   3.882
1.71   5   1.663   3.904
1.72   5   1.674   3.926
1.73   5   1.684   3.947
1.74   5   1.695   3.968
1.75   5   1.705   3.989
1.76   5   1.715   4.009
1.77   5   1.724   4.029
1.78   5   1.734   4.049
1.79   5   1.743   4.068
