#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
0.01   2.45   0.019   0.55
#Diode bloquee
0.02   2.4   0.01881   2.419
#Diode passante
0.03   2.35   0.03643   0.5876
#Diode bloquee
0.04   2.3   0.03607   2.336
#Diode passante
0.05   2.25   0.05235   0.6221
0.06   2.2   0.0678   0.6547
0.07   2.15   0.08245   0.6856
0.08   2.1   0.0963   0.7149
0.09   2.05   0.1094   0.7426
0.1   2   0.1217   0.7687
0.11   1.95   0.1332   0.7934
0.12   1.9   0.1441   0.8165
0.13   1.85   0.1542   0.8382
0.14   1.8   0.1636   0.8584
0.15   1.75   0.1723   0.8772
0.16   1.7   0.1804   0.8947
0.17   1.65   0.1878   0.9108
0.18   1.6   0.1945   0.9256
0.19   1.55   0.2006   0.9391
0.2   1.5   0.2061   0.9513
0.21   1.45   0.211   0.9623
0.22   1.4   0.2153   0.972
0.23   1.35   0.219   0.9806
0.24   1.3   0.2221   0.988
0.25   1.25   0.2247   0.9942
0.26   1.2   0.2267   0.9993
0.27   1.15   0.2281   1.003
0.28   1.1   0.2291   1.006
0.29   1.05   0.2295   1.008
0.3   1   0.2294   1.009
0.31   0.95   0.2288   1.009
0.32   0.9   0.2277   1.008
0.33   0.85   0.2262   1.005
0.34   0.8   0.2242   1.002
0.35   0.75   0.2217   0.9983
0.36   0.7   0.2187   0.9934
0.37   0.65   0.2154   0.9875
0.38   0.6   0.2116   0.9807
0.39   0.55   0.2073   0.9731
0.4   0.5   0.2027   0.9647
0.41   0.45   0.1976   0.9554
0.42   0.4   0.1922   0.9453
0.43   0.35   0.1863   0.9344
0.44   0.3   0.1801   0.9227
0.45   0.25   0.1735   0.9102
0.46   0.2   0.1665   0.897
0.47   0.15   0.1592   0.8831
0.48   0.1   0.1515   0.8684
0.49   0.05   0.1435   0.853
0.5   -1.11e-15   0.1351   0.837
0.51   -0.05   0.1264   0.8202
0.52   -0.1   0.1174   0.8028
0.53   -0.15   0.108   0.7848
0.54   -0.2   0.09838   0.7661
0.55   -0.25   0.08841   0.7468
0.56   -0.3   0.07814   0.7268
0.57   -0.35   0.06758   0.7063
0.58   -0.4   0.05673   0.6852
0.59   -0.45   0.04559   0.6635
0.6   -0.5   0.03418   0.6412
0.61   -0.55   0.0225   0.6184
0.62   -0.6   0.01055   0.595
#Diode bloquee
0.63   -0.65   0.01044   -0.6395
0.64   -0.7   0.01034   -0.6896
0.65   -0.75   0.01024   -0.7397
0.66   -0.8   0.01013   -0.7898
0.67   -0.85   0.01003   -0.8399
0.68   -0.9   0.009931   -0.89
0.69   -0.95   0.009832   -0.9401
0.7   -1   0.009734   -0.9902
0.71   -1.05   0.009636   -1.04
0.72   -1.1   0.00954   -1.09
0.73   -1.15   0.009445   -1.14
0.74   -1.2   0.00935   -1.191
0.75   -1.25   0.009257   -1.241
0.76   -1.3   0.009164   -1.291
0.77   -1.35   0.009073   -1.341
