#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
0.01   0   0   0.01
0.02   0   0   0.02
0.03   0   0   0.03
0.04   0   0   0.03999
0.05   0   0   0.04998
0.06   0   0   0.05996
0.07   0   0   0.06994
0.08   0   0   0.07991
0.09   0   0   0.08988
0.1   0   0   0.09983
0.11   0   0   0.1098
0.12   0   0   0.1197
0.13   0   0   0.1296
0.14   0   0   0.1395
0.15   0   0   0.1494
0.16   0   0   0.1593
0.17   0   0   0.1692
0.18   0   0   0.179
0.19   0   0   0.1889
0.2   0   0   0.1987
0.21   0   0   0.2085
0.22   0   0   0.2182
0.23   0   0   0.228
0.24   0   0   0.2377
0.25   0   0   0.2474
0.26   0   0   0.2571
0.27   0   0   0.2667
0.28   0   0   0.2764
0.29   0   0   0.286
0.3   0   0   0.2955
0.31   0   0   0.3051
0.32   0   0   0.3146
0.33   0   0   0.324
0.34   0   0   0.3335
0.35   0   0   0.3429
0.36   0   0   0.3523
0.37   0   0   0.3616
0.38   0   0   0.3709
0.39   0   0   0.3802
0.4   0   0   0.3894
0.41   0   0   0.3986
0.42   0   0   0.4078
0.43   0   0   0.4169
0.44   0   0   0.4259
0.45   0   0   0.435
0.46   0   0   0.4439
0.47   0   0   0.4529
0.48   0   0   0.4618
0.49   0   0   0.4706
0.5   0   0   0.4794
0.51   0   0   0.4882
0.52   0   0   0.4969
0.53   0   0   0.5055
0.54   0   0   0.5141
0.55   0   0   0.5227
0.56   0   0   0.5312
0.57   0   0   0.5396
0.58   0   0   0.548
0.59   0   0   0.5564
0.6   0   0   0.5646
0.61   0   0   0.5729
0.62   0   0   0.581
0.63   0   0   0.5891
0.64   0   0   0.5972
0.65   0   0   0.6052
0.66   0   0   0.6131
0.67   0   0   0.621
0.68   0   0   0.6288
0.69   0   0   0.6365
0.7   0   0   0.6442
0.71   0   0   0.6518
0.72   0   0   0.6594
0.73   0   0   0.6669
0.74   0   0   0.6743
0.75   0   0   0.6816
0.76   0   0   0.6889
0.77   0   0   0.6961
0.78   0   0   0.7033
0.79   0   0   0.7104
0.8   0   0   0.7174
0.81   0   0   0.7243
0.82   0   0   0.7311
0.83   0   0   0.7379
0.84   0   0   0.7446
0.85   0   0   0.7513
0.86   0   0   0.7578
0.87   0   0   0.7643
0.88   0   0   0.7707
0.89   0   0   0.7771
0.9   0   0   0.7833
0.91   0   0   0.7895
0.92   0   0   0.7956
0.93   0   0   0.8016
0.94   0   0   0.8076
0.95   0   0   0.8134
0.96   0   0   0.8192
0.97   0   0   0.8249
0.98   0   0   0.8305
0.99   0   0   0.836
1   5   0   0.8415
1.01   5   0   0.8468
1.02   5   0.0005   0.8521
1.03   5   0.001495   0.8573
1.04   5   0.00298   0.8624
1.05   5   0.00495   0.8674
1.06   5   0.0074   0.8724
1.07   5   0.01033   0.8772
1.08   5   0.01372   0.882
1.09   5   0.01758   0.8866
1.1   5   0.0219   0.8912
1.11   5   0.02668   0.8957
1.12   5   0.0319   0.9001
1.13   5   0.03757   0.9044
1.14   5   0.04368   0.9086
1.15   5   0.05023   0.9128
1.16   5   0.0572   0.9168
1.17   5   0.0646   0.9208
1.18   5   0.07242   0.9246
1.19   5   0.08066   0.9284
1.2   5   0.08931   0.932
1.21   5   0.09836   0.9356
1.22   5   0.1078   0.9391
1.23   5   0.1177   0.9425
1.24   5   0.1279   0.9458
1.25   5   0.1385   0.949
1.26   5   0.1495   0.9521
1.27   5   0.1609   0.9551
1.28   5   0.1727   0.958
1.29   5   0.1848   0.9608
1.3   5   0.1973   0.9636
1.31   5   0.2101   0.9662
1.32   5   0.2233   0.9687
1.33   5   0.2368   0.9711
1.34   5   0.2507   0.9735
1.35   5   0.2649   0.9757
1.36   5   0.2795   0.9779
1.37   5   0.2944   0.9799
1.38   5   0.3096   0.9819
1.39   5   0.3251   0.9837
1.4   5   0.3409   0.9854
1.41   5   0.3571   0.9871
1.42   5   0.3735   0.9887
1.43   5   0.3902   0.9901
1.44   5   0.4073   0.9915
1.45   5   0.4246   0.9927
1.46   5   0.4422   0.9939
1.47   5   0.4601   0.9949
1.48   5   0.4783   0.9959
1.49   5   0.4968   0.9967
1.5   5   0.5155   0.9975
1.51   5   0.5345   0.9982
1.52   5   0.5537   0.9987
1.53   5   0.5732   0.9992
1.54   5   0.5929   0.9995
1.55   5   0.6129   0.9998
1.56   5   0.6331   0.9999
1.57   5   0.6536   1
1.58   5   0.6743   1
1.59   5   0.6952   0.9998
1.6   5   0.7164   0.9996
1.61   5   0.7377   0.9992
1.62   5   0.7593   0.9988
1.63   5   0.7811   0.9982
1.64   5   0.8031   0.9976
1.65   5   0.8253   0.9969
1.66   5   0.8477   0.996
1.67   5   0.8703   0.9951
1.68   5   0.8931   0.994
1.69   5   0.9161   0.9929
1.7   5   0.9392   0.9917
1.71   5   0.9625   0.9903
1.72   5   0.986   0.9889
1.73   5   1.01   0.9874
1.74   5   1.034   0.9857
1.75   5   1.058   0.984
1.76   5   1.082   0.9822
1.77   5   1.106   0.9802
1.78   5   1.13   0.9782
1.79   5   1.155   0.9761
1.8   5   1.18   0.9738
1.81   5   1.205   0.9715
1.82   5   1.23   0.9691
1.83   5   1.255   0.9666
1.84   5   1.28   0.964
1.85   5   1.305   0.9613
1.86   5   1.331   0.9585
1.87   5   1.357   0.9556
1.88   5   1.382   0.9526
1.89   5   1.408   0.9495
1.9   5   1.434   0.9463
1.91   5   1.46   0.943
1.92   5   1.486   0.9396
1.93   5   1.512   0.9362
1.94   5   1.539   0.9326
1.95   5   1.565   0.929
