#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
0.01   2.45   0   0.01
0.02   2.4   0.00025   0.02
0.03   2.35   0.0007425   0.03
0.04   2.3   0.00147   0.03999
0.05   2.25   0.002425   0.04998
0.06   2.2   0.003601   0.05996
0.07   2.15   0.004989   0.06994
0.08   2.1   0.006584   0.07991
0.09   2.05   0.008376   0.08988
0.1   2   0.01036   0.09983
0.11   1.95   0.01253   0.1098
0.12   1.9   0.01487   0.1197
0.13   1.85   0.01739   0.1296
0.14   1.8   0.02007   0.1395
0.15   1.75   0.02291   0.1494
0.16   1.7   0.02589   0.1593
0.17   1.65   0.02902   0.1692
0.18   1.6   0.03229   0.179
0.19   1.55   0.03568   0.1889
0.2   1.5   0.0392   0.1987
0.21   1.45   0.04283   0.2085
0.22   1.4   0.04657   0.2182
0.23   1.35   0.05042   0.228
0.24   1.3   0.05436   0.2377
0.25   1.25   0.05839   0.2474
0.26   1.2   0.06251   0.2571
0.27   1.15   0.06671   0.2667
0.28   1.1   0.07098   0.2764
0.29   1.05   0.07531   0.286
0.3   1   0.0797   0.2955
0.31   0.95   0.08415   0.3051
0.32   0.9   0.08864   0.3146
0.33   0.85   0.09318   0.324
0.34   0.8   0.09775   0.3335
0.35   0.75   0.1023   0.3429
0.36   0.7   0.107   0.3523
0.37   0.65   0.1116   0.3616
0.38   0.6   0.1163   0.3709
0.39   0.55   0.1209   0.3802
0.4   0.5   0.1256   0.3894
0.41   0.45   0.1303   0.3986
0.42   0.4   0.1349   0.4078
0.43   0.35   0.1396   0.4169
0.44   0.3   0.1442   0.4259
0.45   0.25   0.1488   0.435
0.46   0.2   0.1533   0.4439
0.47   0.15   0.1579   0.4529
0.48   0.1   0.1623   0.4618
0.49   0.05   0.1668   0.4706
0.5   -1.11e-15   0.1712   0.4794
0.51   -0.05   0.1755   0.4882
0.52   -0.1   0.1798   0.4969
0.53   -0.15   0.184   0.5055
0.54   -0.2   0.1881   0.5141
0.55   -0.25   0.1922   0.5227
0.56   -0.3   0.1962   0.5312
0.57   -0.35   0.2001   0.5396
0.58   -0.4   0.2039   0.548
0.59   -0.45   0.2076   0.5564
0.6   -0.5   0.2112   0.5646
0.61   -0.55   0.2148   0.5729
0.62   -0.6   0.2182   0.581
0.63   -0.65   0.2215   0.5891
0.64   -0.7   0.2247   0.5972
0.65   -0.75   0.2277   0.6052
0.66   -0.8   0.2307   0.6131
0.67   -0.85   0.2335   0.621
0.68   -0.9   0.2362   0.6288
0.69   -0.95   0.2387   0.6365
0.7   -1   0.2411   0.6442
0.71   -1.05   0.2434   0.6518
0.72   -1.1   0.2455   0.6594
0.73   -1.15   0.2475   0.6669
0.74   -1.2   0.2493   0.6743
0.75   -1.25   0.251   0.6816
