#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
0.01   5   0
0.02   5   0
0.03   5   0
0.04   5   0
0.05   5   0
0.06   5   0
0.07   5   0
0.08   5   0
0.09   5   0
0.1   5   0
0.11   5   0
0.12   5   0
0.13   5   0
0.14   5   0
0.15   5   0
0.16   5   0
0.17   5   0
0.18   5   0
0.19   5   0
0.2   0   0
0.21   0   0
0.22   0   -0.05
0.23   0   -0.0995
0.24   0   -0.1485
0.25   0   -0.197
0.26   0   -0.245
0.27   0   -0.2925
0.28   0   -0.3395
0.29   0   -0.386
0.3   0   -0.432
0.31   0   -0.4775
0.32   0   -0.5225
0.33   0   -0.567
0.34   0   -0.611
0.35   0   -0.6545
0.36   0   -0.6976
0.37   0   -0.7401
0.38   0   -0.7821
0.39   0   -0.8236
0.4   0   -0.8647
0.41   0   -0.9052
0.42   0   -0.9453
0.43   0   -0.9849
0.44   0   -1.024
0.45   0   -1.063
0.46   0   -1.101
0.47   0   -1.138
0.48   0   -1.175
0.49   0   -1.212
0.5   0   -1.248
0.51   0   -1.284
0.52   0   -1.319
0.53   0   -1.354
0.54   0   -1.388
0.55   0   -1.422
0.56   0   -1.455
0.57   0   -1.488
0.58   0   -1.52
0.59   0   -1.552
0.6   0   -1.583
0.61   0   -1.614
0.62   0   -1.645
0.63   0   -1.675
0.64   0   -1.704
0.65   0   -1.733
0.66   0   -1.762
0.67   0   -1.79
0.68   0   -1.818
0.69   0   -1.845
0.7   0   -1.872
0.71   0   -1.898
0.72   0   -1.924
0.73   0   -1.949
0.74   0   -1.974
0.75   0   -1.999
0.76   0   -2.023
0.77   0   -2.046
0.78   0   -2.07
0.79   0   -2.092
0.8   0   -2.115
0.81   0   -2.137
0.82   0   -2.158
0.83   0   -2.179
0.84   0   -2.2
0.85   0   -2.22
0.86   0   -2.24
0.87   0   -2.259
0.88   0   -2.278
0.89   0   -2.297
0.9   0   -2.315
0.91   0   -2.332
0.92   0   -2.35
0.93   0   -2.367
0.94   0   -2.383
0.95   0   -2.399
0.96   0   -2.415
0.97   0   -2.43
0.98   0   -2.445
0.99   0   -2.459
1   5   -2.473
1.01   5   -2.487
1.02   5   -2.451
1.03   5   -2.414
1.04   5   -2.378
1.05   5   -2.341
1.06   5   -2.305
1.07   5   -2.269
1.08   5   -2.233
1.09   5   -2.197
1.1   5   -2.162
1.11   5   -2.126
1.12   5   -2.091
1.13   5   -2.055
1.14   5   -2.02
1.15   5   -1.985
1.16   5   -1.951
1.17   5   -1.916
1.18   5   -1.881
1.19   5   -1.847
1.2   5   -1.813
1.21   5   -1.779
1.22   5   -1.745
1.23   5   -1.711
1.24   5   -1.678
1.25   5   -1.644
1.26   5   -1.611
1.27   5   -1.578
