#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
0.01   0   0
0.02   0   0
0.03   0   0
0.04   0   0
0.05   0   0
0.06   0   0
0.07   0   0
0.08   0   0
0.09   0   0
0.1   0   0
0.11   0   0
0.12   0   0
0.13   0   0
0.14   0   0
0.15   0   0
0.16   0   0
0.17   0   0
0.18   0   0
0.19   0   0
0.2   0   0
0.21   0   0
0.22   0   0
0.23   0   0
0.24   0   0
0.25   0   0
0.26   0   0
0.27   0   0
0.28   0   0
0.29   0   0
0.3   0   0
0.31   0   0
0.32   0   0
0.33   0   0
0.34   0   0
0.35   0   0
0.36   0   0
0.37   0   0
0.38   0   0
0.39   0   0
0.4   0   0
0.41   0   0
0.42   0   0
0.43   0   0
0.44   0   0
0.45   0   0
0.46   0   0
0.47   0   0
0.48   0   0
0.49   0   0
0.5   0   0
0.51   0   0
0.52   0   0
0.53   0   0
0.54   0   0
0.55   0   0
0.56   0   0
0.57   0   0
0.58   0   0
0.59   0   0
0.6   0   0
0.61   0   0
0.62   0   0
0.63   0   0
0.64   0   0
0.65   0   0
0.66   0   0
0.67   0   0
0.68   0   0
0.69   0   0
0.7   0   0
0.71   0   0
0.72   0   0
0.73   0   0
0.74   0   0
0.75   0   0
0.76   0   0
0.77   0   0
0.78   0   0
0.79   0   0
0.8   0   0
0.81   0   0
0.82   0   0
0.83   0   0
0.84   0   0
0.85   0   0
0.86   0   0
0.87   0   0
0.88   0   0
0.89   0   0
0.9   0   0
0.91   0   0
0.92   0   0
0.93   0   0
0.94   0   0
0.95   0   0
0.96   0   0
0.97   0   0
0.98   0   0
0.99   0   0
1   5   0
1.01   5   0
1.02   5   0.05
1.03   5   0.0995
1.04   5   0.1485
1.05   5   0.197
1.06   5   0.245
1.07   5   0.2925
1.08   5   0.3395
1.09   5   0.386
1.1   5   0.432
1.11   5   0.4775
1.12   5   0.5225
1.13   5   0.567
1.14   5   0.611
1.15   5   0.6545
1.16   5   0.6976
1.17   5   0.7401
1.18   5   0.7821
1.19   5   0.8236
1.2   5   0.8647
1.21   5   0.9052
1.22   5   0.9453
1.23   5   0.9849
1.24   5   1.024
1.25   5   1.063
1.26   5   1.101
1.27   5   1.138
1.28   5   1.175
1.29   5   1.212
1.3   5   1.248
1.31   5   1.284
1.32   5   1.319
1.33   5   1.354
1.34   5   1.388
1.35   5   1.422
1.36   5   1.455
1.37   5   1.488
1.38   5   1.52
1.39   5   1.552
1.4   5   1.583
1.41   5   1.614
1.42   5   1.645
1.43   5   1.675
1.44   5   1.704
1.45   5   1.733
1.46   5   1.762
1.47   5   1.79
1.48   5   1.818
1.49   5   1.845
1.5   5   1.872
1.51   5   1.898
1.52   5   1.924
1.53   5   1.949
1.54   5   1.974
1.55   5   1.999
1.56   5   2.023
1.57   5   2.046
1.58   5   2.07
1.59   5   2.092
1.6   5   2.115
1.61   5   2.137
1.62   5   2.158
1.63   5   2.179
1.64   5   2.2
1.65   5   2.22
1.66   5   2.24
1.67   5   2.259
1.68   5   2.278
1.69   5   2.297
1.7   5   2.315
1.71   5   2.332
1.72   5   2.35
1.73   5   2.367
1.74   5   2.383
1.75   5   2.399
1.76   5   2.415
1.77   5   2.43
1.78   5   2.445
1.79   5   2.459
1.8   5   2.473
1.81   5   2.487
1.82   5   2.501
1.83   5   2.513
1.84   5   2.526
1.85   5   2.538
1.86   5   2.55
1.87   5   2.562
1.88   5   2.573
1.89   5   2.583
1.9   5   2.594
1.91   5   2.604
1.92   5   2.613
1.93   5   2.623
1.94   5   2.631
1.95   5   2.64
1.96   5   2.648
1.97   5   2.656
1.98   5   2.664
