#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
0.01   2.45   0
0.02   2.4   0.0005
0.03   2.35   0.000495
0.04   2.3   -1e-05
0.05   2.25   -0.00101
0.06   2.2   -0.0025
0.07   2.15   -0.004475
0.08   2.1   -0.00693
0.09   2.05   -0.00986
0.1   2   -0.01326
0.11   1.95   -0.01713
0.12   1.9   -0.02145
0.13   1.85   -0.02623
0.14   1.8   -0.03146
0.15   1.75   -0.03714
0.16   1.7   -0.04325
0.17   1.65   -0.0498
0.18   1.6   -0.05678
0.19   1.55   -0.06419
0.2   1.5   -0.07201
0.21   1.45   -0.08026
0.22   1.4   -0.08891
0.23   1.35   -0.09796
0.24   1.3   -0.1074
0.25   1.25   -0.1173
0.26   1.2   -0.1275
0.27   1.15   -0.1381
0.28   1.1   -0.1492
0.29   1.05   -0.1605
0.3   1   -0.1723
0.31   0.95   -0.1844
0.32   0.9   -0.1969
0.33   0.85   -0.2098
0.34   0.8   -0.223
0.35   0.75   -0.2365
0.36   0.7   -0.2504
0.37   0.65   -0.2646
0.38   0.6   -0.2792
0.39   0.55   -0.294
0.4   0.5   -0.3092
0.41   0.45   -0.3248
0.42   0.4   -0.3406
0.43   0.35   -0.3568
0.44   0.3   -0.3732
0.45   0.25   -0.39
0.46   0.2   -0.407
0.47   0.15   -0.4243
0.48   0.1   -0.442
0.49   0.05   -0.4599
0.5   -1.11e-15   -0.478
0.51   -0.05   -0.4965
0.52   -0.1   -0.5152
0.53   -0.15   -0.5342
0.54   -0.2   -0.5534
0.55   -0.25   -0.5729
0.56   -0.3   -0.5927
0.57   -0.35   -0.6127
0.58   -0.4   -0.6329
0.59   -0.45   -0.6534
0.6   -0.5   -0.6741
0.61   -0.55   -0.695
0.62   -0.6   -0.7162
0.63   -0.65   -0.7375
0.64   -0.7   -0.7591
0.65   -0.75   -0.7809
0.66   -0.8   -0.8029
0.67   -0.85   -0.8251
0.68   -0.9   -0.8475
0.69   -0.95   -0.8701
0.7   -1   -0.8929
0.71   -1.05   -0.9159
0.72   -1.1   -0.939
0.73   -1.15   -0.9624
0.74   -1.2   -0.9859
0.75   -1.25   -1.01
0.76   -1.3   -1.033
0.77   -1.35   -1.057
0.78   -1.4   -1.082
0.79   -1.45   -1.106
0.8   -1.5   -1.13
0.81   -1.55   -1.155
0.82   -1.6   -1.18
0.83   -1.65   -1.204
0.84   -1.7   -1.229
0.85   -1.75   -1.255
0.86   -1.8   -1.28
0.87   -1.85   -1.305
0.88   -1.9   -1.331
0.89   -1.95   -1.356
