#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Temps   SolEuler   SolExacte   
0.01   0   -0.01
0.02   -0.0003   -0.02
0.03   -0.000891   -0.03
0.04   -0.001764   -0.04
0.05   -0.002911   -0.05
0.06   -0.004324   -0.06
0.07   -0.005994   -0.07
0.08   -0.007914   -0.08
0.09   -0.01008   -0.09
0.1   -0.01247   -0.1
0.11   -0.0151   -0.11
0.12   -0.01795   -0.12
0.13   -0.02101   -0.13
0.14   -0.02428   -0.14
0.15   -0.02775   -0.15
0.16   -0.03142   -0.16
0.17   -0.03528   -0.17
0.18   -0.03932   -0.18
0.19   -0.04354   -0.19
0.2   -0.04793   -0.2
0.21   -0.05249   -0.21
0.22   -0.05722   -0.22
0.23   -0.0621   -0.23
0.24   -0.06714   -0.24
0.25   -0.07232   -0.25
0.26   -0.07766   -0.26
0.27   -0.08313   -0.27
0.28   -0.08873   -0.28
0.29   -0.09447   -0.29
0.3   -0.1003   -0.3
0.31   -0.1063   -0.31
0.32   -0.1124   -0.32
0.33   -0.1187   -0.33
0.34   -0.125   -0.34
0.35   -0.1315   -0.35
0.36   -0.138   -0.36
0.37   -0.1447   -0.37
0.38   -0.1514   -0.38
0.39   -0.1583   -0.39
0.4   -0.1652   -0.4
0.41   -0.1723   -0.41
0.42   -0.1794   -0.42
0.43   -0.1866   -0.43
0.44   -0.1939   -0.44
0.45   -0.2013   -0.45
0.46   -0.2088   -0.46
0.47   -0.2163   -0.47
0.48   -0.2239   -0.48
0.49   -0.2316   -0.49
0.5   -0.2394   -0.5
0.51   -0.2472   -0.51
0.52   -0.2551   -0.52
0.53   -0.263   -0.53
0.54   -0.271   -0.54
0.55   -0.2791   -0.55
0.56   -0.2872   -0.56
0.57   -0.2954   -0.57
0.58   -0.3036   -0.58
0.59   -0.3119   -0.59
0.6   -0.3203   -0.6
0.61   -0.3287   -0.61
0.62   -0.3371   -0.62
0.63   -0.3456   -0.63
0.64   -0.3541   -0.64
0.65   -0.3627   -0.65
0.66   -0.3713   -0.66
0.67   -0.38   -0.67
0.68   -0.3887   -0.68
0.69   -0.3974   -0.69
0.7   -0.4062   -0.7
0.71   -0.415   -0.71
0.72   -0.4239   -0.72
0.73   -0.4327   -0.73
0.74   -0.4417   -0.74
0.75   -0.4506   -0.75
0.76   -0.4596   -0.76
0.77   -0.4686   -0.77
0.78   -0.4776   -0.78
0.79   -0.4867   -0.79
0.8   -0.4958   -0.8
0.81   -0.5049   -0.81
0.82   -0.5141   -0.82
0.83   -0.5233   -0.83
0.84   -0.5325   -0.84
0.85   -0.5417   -0.85
0.86   -0.5509   -0.86
0.87   -0.5602   -0.87
0.88   -0.5695   -0.88
0.89   -0.5788   -0.89
0.9   -0.5882   -0.9
0.91   -0.5975   -0.91
0.92   -0.6069   -0.92
0.93   -0.6163   -0.93
0.94   -0.6257   -0.94
0.95   -0.6351   -0.95
0.96   -0.6446   -0.96
0.97   -0.654   -0.97
0.98   -0.6635   -0.98
0.99   -0.673   -0.99
1   -0.6825   -1
