#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
0.01   0   0.01   0.01
0.02   0   0.02   0.02
0.03   0   0.03   0.03
0.04   0   0.04   0.03999
0.05   0   0.04999   0.04998
0.06   0   0.05998   0.05996
0.07   0   0.06997   0.06994
0.08   0   0.07994   0.07991
0.09   0   0.08992   0.08988
0.1   0   0.09988   0.09983
0.11   0   0.1098   0.1098
0.12   0   0.1198   0.1197
0.13   0   0.1297   0.1296
0.14   0   0.1396   0.1395
0.15   0   0.1495   0.1494
0.16   0   0.1594   0.1593
0.17   0   0.1693   0.1692
0.18   0   0.1792   0.179
0.19   0   0.189   0.1889
0.2   0   0.1989   0.1987
0.21   0   0.2087   0.2085
0.22   0   0.2185   0.2182
0.23   0   0.2282   0.228
0.24   0   0.238   0.2377
0.25   0   0.2477   0.2474
0.26   0   0.2574   0.2571
0.27   0   0.2671   0.2667
0.28   0   0.2767   0.2764
0.29   0   0.2864   0.286
0.3   0   0.296   0.2955
0.31   0   0.3055   0.3051
0.32   0   0.3151   0.3146
0.33   0   0.3246   0.324
0.34   0   0.334   0.3335
0.35   0   0.3435   0.3429
0.36   0   0.3529   0.3523
0.37   0   0.3623   0.3616
0.38   0   0.3716   0.3709
0.39   0   0.3809   0.3802
0.4   0   0.3902   0.3894
0.41   0   0.3994   0.3986
0.42   0   0.4086   0.4078
0.43   0   0.4178   0.4169
0.44   0   0.4269   0.4259
0.45   0   0.4359   0.435
0.46   0   0.445   0.4439
0.47   0   0.4539   0.4529
0.48   0   0.4629   0.4618
0.49   0   0.4718   0.4706
0.5   0   0.4806   0.4794
0.51   0   0.4894   0.4882
0.52   0   0.4982   0.4969
0.53   0   0.5069   0.5055
0.54   0   0.5155   0.5141
0.55   0   0.5241   0.5227
0.56   0   0.5327   0.5312
0.57   0   0.5412   0.5396
0.58   0   0.5496   0.548
0.59   0   0.558   0.5564
0.6   0   0.5663   0.5646
0.61   0   0.5746   0.5729
0.62   0   0.5828   0.581
0.63   0   0.591   0.5891
0.64   0   0.5991   0.5972
0.65   0   0.6071   0.6052
0.66   0   0.6151   0.6131
0.67   0   0.6231   0.621
0.68   0   0.6309   0.6288
0.69   0   0.6387   0.6365
0.7   0   0.6465   0.6442
0.71   0   0.6541   0.6518
0.72   0   0.6617   0.6594
0.73   0   0.6693   0.6669
0.74   0   0.6768   0.6743
0.75   0   0.6842   0.6816
0.76   0   0.6915   0.6889
0.77   0   0.6988   0.6961
0.78   0   0.706   0.7033
0.79   0   0.7131   0.7104
0.8   0   0.7202   0.7174
0.81   0   0.7272   0.7243
0.82   0   0.7341   0.7311
0.83   0   0.741   0.7379
0.84   0   0.7478   0.7446
0.85   0   0.7545   0.7513
0.86   0   0.7611   0.7578
0.87   0   0.7676   0.7643
0.88   0   0.7741   0.7707
0.89   0   0.7805   0.7771
0.9   0   0.7868   0.7833
0.91   0   0.7931   0.7895
0.92   0   0.7993   0.7956
0.93   0   0.8053   0.8016
0.94   0   0.8113   0.8076
0.95   0   0.8173   0.8134
0.96   0   0.8231   0.8192
0.97   0   0.8289   0.8249
0.98   0   0.8346   0.8305
0.99   0   0.8402   0.836
1   0   0.8457   0.8415
1.01   0   0.8511   0.8468
1.02   0   0.8564   0.8521
1.03   0   0.8617   0.8573
1.04   0   0.8669   0.8624
1.05   0   0.872   0.8674
1.06   0   0.877   0.8724
1.07   0   0.8819   0.8772
1.08   0   0.8867   0.882
1.09   0   0.8915   0.8866
1.1   0   0.8961   0.8912
1.11   0   0.9007   0.8957
1.12   0   0.9051   0.9001
1.13   0   0.9095   0.9044
1.14   0   0.9138   0.9086
1.15   0   0.918   0.9128
1.16   0   0.9221   0.9168
1.17   0   0.9261   0.9208
1.18   0   0.9301   0.9246
1.19   0   0.9339   0.9284
1.2   0   0.9376   0.932
1.21   0   0.9413   0.9356
1.22   0   0.9448   0.9391
1.23   0   0.9483   0.9425
1.24   0   0.9517   0.9458
1.25   0   0.9549   0.949
1.26   0   0.9581   0.9521
1.27   0   0.9612   0.9551
1.28   0   0.9642   0.958
1.29   0   0.967   0.9608
1.3   0   0.9698   0.9636
1.31   0   0.9725   0.9662
1.32   0   0.9751   0.9687
1.33   0   0.9776   0.9711
1.34   0   0.98   0.9735
1.35   0   0.9823   0.9757
1.36   0   0.9845   0.9779
1.37   0   0.9866   0.9799
1.38   0   0.9886   0.9819
1.39   0   0.9906   0.9837
1.4   0   0.9924   0.9854
1.41   0   0.9941   0.9871
1.42   0   0.9957   0.9887
1.43   0   0.9972   0.9901
1.44   0   0.9986   0.9915
1.45   0   0.9999   0.9927
1.46   0   1.001   0.9939
1.47   0   1.002   0.9949
1.48   0   1.003   0.9959
1.49   0   1.004   0.9967
1.5   0   1.005   0.9975
1.51   0   1.006   0.9982
1.52   0   1.006   0.9987
1.53   0   1.007   0.9992
1.54   0   1.007   0.9995
1.55   0   1.008   0.9998
1.56   0   1.008   0.9999
1.57   0   1.008   1
1.58   0   1.008   1
1.59   0   1.008   0.9998
1.6   0   1.008   0.9996
1.61   0   1.007   0.9992
1.62   0   1.007   0.9988
1.63   0   1.006   0.9982
1.64   0   1.006   0.9976
1.65   0   1.005   0.9969
1.66   0   1.004   0.996
1.67   0   1.003   0.9951
1.68   0   1.002   0.994
1.69   0   1.001   0.9929
1.7   0   1   0.9917
1.71   0   0.9988   0.9903
1.72   0   0.9974   0.9889
1.73   0   0.9959   0.9874
1.74   0   0.9943   0.9857
1.75   0   0.9926   0.984
1.76   0   0.9908   0.9822
1.77   0   0.9889   0.9802
1.78   0   0.987   0.9782
1.79   0   0.9849   0.9761
1.8   0   0.9827   0.9738
1.81   0   0.9804   0.9715
1.82   0   0.978   0.9691
1.83   0   0.9755   0.9666
1.84   0   0.9729   0.964
1.85   0   0.9702   0.9613
1.86   0   0.9674   0.9585
1.87   0   0.9646   0.9556
1.88   0   0.9616   0.9526
1.89   0   0.9585   0.9495
1.9   0   0.9554   0.9463
1.91   0   0.9521   0.943
1.92   0   0.9487   0.9396
1.93   0   0.9453   0.9362
1.94   0   0.9417   0.9326
1.95   0   0.9381   0.929
1.96   0   0.9343   0.9252
1.97   0   0.9305   0.9214
1.98   0   0.9266   0.9174
1.99   0   0.9226   0.9134
2   0   0.9185   0.9093
2.01   0   0.9143   0.9051
2.02   0   0.91   0.9008
2.03   0   0.9056   0.8964
2.04   0   0.9011   0.8919
2.05   0   0.8965   0.8874
2.06   0   0.8919   0.8827
2.07   0   0.8871   0.878
2.08   0   0.8823   0.8731
2.09   0   0.8774   0.8682
2.1   0   0.8724   0.8632
2.11   0   0.8673   0.8581
2.12   0   0.8621   0.8529
2.13   0   0.8568   0.8477
2.14   0   0.8514   0.8423
2.15   0   0.846   0.8369
2.16   0   0.8405   0.8314
2.17   0   0.8348   0.8258
2.18   0   0.8291   0.8201
2.19   0   0.8233   0.8143
2.2   0   0.8175   0.8085
2.21   0   0.8115   0.8026
2.22   0   0.8055   0.7966
2.23   0   0.7994   0.7905
2.24   0   0.7932   0.7843
2.25   0   0.7869   0.7781
2.26   0   0.7806   0.7718
2.27   0   0.7741   0.7654
2.28   0   0.7676   0.7589
2.29   0   0.761   0.7523
2.3   0   0.7544   0.7457
2.31   0   0.7476   0.739
2.32   0   0.7408   0.7322
2.33   0   0.7339   0.7254
2.34   0   0.727   0.7185
2.35   0   0.7199   0.7115
2.36   0   0.7128   0.7044
2.37   0   0.7056   0.6973
2.38   0   0.6984   0.6901
2.39   0   0.6911   0.6828
2.4   0   0.6837   0.6755
2.41   0   0.6762   0.6681
2.42   0   0.6687   0.6606
2.43   0   0.6611   0.653
2.44   0   0.6534   0.6454
2.45   0   0.6457   0.6378
2.46   0   0.6379   0.63
2.47   0   0.63   0.6222
2.48   0   0.6221   0.6144
2.49   0   0.6141   0.6065
2.5   0   0.6061   0.5985
2.51   0   0.598   0.5904
2.52   0   0.5898   0.5823
2.53   0   0.5816   0.5742
2.54   0   0.5733   0.566
2.55   0   0.5649   0.5577
2.56   0   0.5565   0.5494
2.57   0   0.548   0.541
2.58   0   0.5395   0.5325
2.59   0   0.5309   0.524
2.6   0   0.5223   0.5155
2.61   0   0.5136   0.5069
2.62   0   0.5049   0.4983
2.63   0   0.4961   0.4896
2.64   0   0.4873   0.4808
2.65   0   0.4784   0.472
2.66   0   0.4695   0.4632
2.67   0   0.4605   0.4543
2.68   0   0.4515   0.4454
2.69   0   0.4424   0.4364
2.7   0   0.4333   0.4274
2.71   0   0.4241   0.4183
2.72   0   0.4149   0.4092
2.73   0   0.4057   0.4001
2.74   0   0.3964   0.3909
2.75   0   0.387   0.3817
2.76   0   0.3777   0.3724
2.77   0   0.3683   0.3631
2.78   0   0.3588   0.3538
2.79   0   0.3493   0.3444
2.8   0   0.3398   0.335
2.81   0   0.3302   0.3255
2.82   0   0.3207   0.3161
2.83   0   0.311   0.3066
2.84   0   0.3014   0.297
2.85   0   0.2917   0.2875
2.86   0   0.282   0.2779
2.87   0   0.2722   0.2683
2.88   0   0.2625   0.2586
2.89   0   0.2527   0.2489
2.9   0   0.2428   0.2392
2.91   0   0.233   0.2295
2.92   0   0.2231   0.2198
2.93   0   0.2132   0.21
2.94   0   0.2033   0.2002
2.95   0   0.1934   0.1904
2.96   0   0.1834   0.1806
2.97   0   0.1734   0.1708
2.98   0   0.1634   0.1609
2.99   0   0.1534   0.151
3   0   0.1434   0.1411
3.01   0   0.1333   0.1312
3.02   0   0.1232   0.1213
3.03   0   0.1132   0.1114
3.04   0   0.1031   0.1014
3.05   0   0.09297   0.09146
3.06   0   0.08286   0.0815
3.07   0   0.07274   0.07153
3.08   0   0.06261   0.06155
3.09   0   0.05248   0.05157
3.1   0   0.04234   0.04158
3.11   0   0.03219   0.03159
3.12   0   0.02204   0.02159
3.13   0   0.01188   0.01159
3.14   0   0.001724   0.001593
3.15   0   -0.008434   -0.008407
3.16   0   -0.01859   -0.01841
3.17   0   -0.02875   -0.0284
3.18   0   -0.03891   -0.0384
3.19   0   -0.04906   -0.04839
3.2   0   -0.05921   -0.05837
3.21   0   -0.06935   -0.06835
3.22   0   -0.07949   -0.07833
3.23   0   -0.08962   -0.08829
3.24   0   -0.09974   -0.09825
3.25   0   -0.1099   -0.1082
3.26   0   -0.12   -0.1181
3.27   0   -0.1301   -0.1281
3.28   0   -0.1401   -0.138
3.29   0   -0.1502   -0.1479
3.3   0   -0.1603   -0.1577
3.31   0   -0.1703   -0.1676
3.32   0   -0.1803   -0.1775
3.33   0   -0.1903   -0.1873
3.34   0   -0.2003   -0.1971
3.35   0   -0.2103   -0.2069
3.36   0   -0.2202   -0.2167
3.37   0   -0.2302   -0.2264
3.38   0   -0.2401   -0.2362
3.39   0   -0.25   -0.2459
3.4   0   -0.2598   -0.2555
3.41   0   -0.2696   -0.2652
3.42   0   -0.2795   -0.2748
3.43   0   -0.2892   -0.2844
3.44   0   -0.299   -0.294
3.45   0   -0.3087   -0.3035
3.46   0   -0.3184   -0.3131
3.47   0   -0.3281   -0.3225
3.48   0   -0.3377   -0.332
3.49   0   -0.3473   -0.3414
3.5   0   -0.3569   -0.3508
3.51   0   -0.3664   -0.3601
3.52   0   -0.3759   -0.3694
3.53   0   -0.3853   -0.3787
3.54   0   -0.3948   -0.388
3.55   0   -0.4041   -0.3971
3.56   0   -0.4135   -0.4063
3.57   0   -0.4228   -0.4154
3.58   0   -0.4321   -0.4245
3.59   0   -0.4413   -0.4335
3.6   0   -0.4504   -0.4425
3.61   0   -0.4596   -0.4515
3.62   0   -0.4687   -0.4604
3.63   0   -0.4777   -0.4692
3.64   0   -0.4867   -0.478
3.65   0   -0.4956   -0.4868
3.66   0   -0.5045   -0.4955
3.67   0   -0.5134   -0.5042
3.68   0   -0.5222   -0.5128
3.69   0   -0.5309   -0.5213
3.7   0   -0.5396   -0.5298
3.71   0   -0.5483   -0.5383
3.72   0   -0.5568   -0.5467
3.73   0   -0.5654   -0.555
3.74   0   -0.5739   -0.5633
3.75   0   -0.5823   -0.5716
3.76   0   -0.5906   -0.5797
3.77   0   -0.5989   -0.5879
3.78   0   -0.6072   -0.5959
